Dataset,Neural network,Augmentation Algorithm,Epochs,Train acc,Test acc,Execution time (in secs)
cifar100,resnet,No Augmentation,50,55.178,52.98,1025.77197098732
cifar100,resnet,Random Erasing,50,48.986,49.48,1011.2660059928894
cifar10,wrn,No Augmentation,50,90.4,88.58,2345.852082014084
cifar100,resnet,Mixup,50,41.263462,48.18,1046.4066846370697
cifar10,resnet,Random Erasing,50,79.03,81.46,2469.1725599765778
cifar100,resnet,Cutmix,50,43.08,49.54,1016.2268803119659
cifar100,resnet,Random Augment,50,44.85,46.28,1385.81347990036
cifar10,wrn,Random Erasing,50,86.074,88.38,3719.093761444092
cifar10,resnet,Mixup,50,68.809966,80.73,2493.3246529102325
cifar10,resnet,Cutmix,50,72.622,81.81,2468.8909821510315
cifar10,wrn,Mixup,50,74.385906,88.85,4163.628830194473
cifar10,resnet,Random Augment,50,77.518,81.14,2494.7360558509827
cifar10,resnet,YOCO,50,80.844,81.57,2467.1599972248077
cifar10,wrn,Cutmix,50,78.67,89.46,4206.6843638420105
cifar100,resnet,YOCO,50,50.848,48.88,1001.5667262077332
cifar10,resnet,No Augmentation,50,84.334,81.8,1659.088440656662
cifar10,wrn,Random Augment,50,85.32,87.06,3207.6218338012695
cifar100,wrn,No Augmentation,50,72.75,64.72,2700.1010780334473
cifar100,wrn,Random Erasing,50,65.256,65.69,2655.042947292328
cifar100,wrn,Mixup,50,54.089678,63.26,2710.3627552986145
cifar100,wrn,Cutmix,50,59.28,65.76,2660.7237038612366
cifar100,wrn,Random Augment,50,63.056,61.56,2677.7568073272705
cifar10,wrn,YOCO,50,87.712,88.53,2374.994961977005
cifar100,wrn,YOCO,50,69.978,62.78,3544.452748775482
