Dataset,Neural network,Scored by,No.of train datasamples,fraction of data trained on,Train acc,Test acc
cifar10,resnet18_lowres,,50000,1.0,0.9765625,0.8642
cifar10,resnet18_lowres,,50000,1.0,0.984375,0.8685
cifar10,resnet18_lowres,,50000,1.0,0.984375,0.8695
cifar10,resnet18_lowres,,50000,1.0,0.984375,0.8698
cifar10,resnet18_lowres,,50000,1.0,0.984375,0.8769
cifar10,resnet18_lowres,/nobackup/dichalla/data_diet/exps/cifar10/forget_scores/forgetting_scores_avg.npy,50000,1.0,0.9765625,0.8623
cifar10,resnet18_lowres,/nobackup/dichalla/data_diet/exps/cifar10/error_l2_norm_scores/ckpt_7410.npy,50000,1.0,0.96875,0.8547
cifar10,resnet18_lowres,/nobackup/dichalla/data_diet/exps/cifar10/grad_norm_scores/ckpt_7410.npy,50000,1.0,0.9609375,0.8466
cifar10,resnet18_lowres,/nobackup/dichalla/data_diet/exps/cifar10/forget_scores/forgetting_scores_avg.npy,47500,0.95,0.96875,0.8478
cifar10,resnet18_lowres,/nobackup/dichalla/data_diet/exps/cifar10/error_l2_norm_scores/ckpt_7410.npy,47500,0.95,0.9609375,0.8546
cifar10,resnet18_lowres,/nobackup/dichalla/data_diet/exps/cifar10/grad_norm_scores/ckpt_7410.npy,47500,0.95,0.9609375,0.8502
cifar10,resnet18_lowres,/nobackup/dichalla/data_diet/exps/cifar10/forget_scores/forgetting_scores_avg.npy,45000,0.9,0.96875,0.8597
cifar10,resnet18_lowres,/nobackup/dichalla/data_diet/exps/cifar10/error_l2_norm_scores/ckpt_7410.npy,45000,0.9,0.9609375,0.8624
cifar10,resnet18_lowres,/nobackup/dichalla/data_diet/exps/cifar10/grad_norm_scores/ckpt_7410.npy,45000,0.9,0.953125,0.8512
cifar10,resnet18_lowres,/nobackup/dichalla/data_diet/exps/cifar10/forget_scores/forgetting_scores_avg.npy,37500,0.75,0.953125,0.859
cifar10,resnet18_lowres,/nobackup/dichalla/data_diet/exps/cifar10/error_l2_norm_scores/ckpt_7410.npy,37500,0.75,0.96875,0.8627
cifar10,resnet18_lowres,/nobackup/dichalla/data_diet/exps/cifar10/grad_norm_scores/ckpt_7410.npy,37500,0.75,0.9609375,0.8771
cifar10,resnet18_lowres,/nobackup/dichalla/data_diet/exps/cifar10/forget_scores/forgetting_scores_avg.npy,27500,0.55,0.9453125,0.8605
cifar10,resnet18_lowres,/nobackup/dichalla/data_diet/exps/cifar10/error_l2_norm_scores/ckpt_7410.npy,27500,0.55,0.9453125,0.8721
cifar10,resnet18_lowres,/nobackup/dichalla/data_diet/exps/cifar10/grad_norm_scores/ckpt_7410.npy,27500,0.55,0.953125,0.8655
cifar10,resnet18_lowres,/nobackup/dichalla/data_diet/exps/cifar10/forget_scores/forgetting_scores_avg.npy,5000,0.1,1.0,0.2874
cifar100,resnet18_lowres,,50000,1.0,0.84375,0.6029
cifar100,resnet18_lowres,,50000,1.0,0.8359375,0.601
cifar100,resnet18_lowres,,50000,1.0,0.84375,0.6142
cifar100,resnet18_lowres,,50000,1.0,0.8359375,0.6067
cifar100,resnet18_lowres,,50000,1.0,0.8359375,0.6047
cifar100,resnet18_lowres,/scratch/dichalla/data_diet/exps/cifar100/forget_scores/ckpt_9360.npy,50000,1.0,0.8046875,0.5891
cifar100,resnet18_lowres,/scratch/dichalla/data_diet/exps/cifar100/grad_norm_scores/ckpt_7410.npy,50000,1.0,0.8203125,0.6034
cifar100,resnet18_lowres,/scratch/dichalla/data_diet/exps/cifar100/error_l2_norm_scores/ckpt_7410.npy,50000,1.0,0.84375,0.617
cifar100,resnet18_lowres,/scratch/dichalla/data_diet/exps/cifar100/forget_scores/ckpt_9360.npy,47500,0.95,0.84375,0.6038
cifar100,resnet18_lowres,/scratch/dichalla/data_diet/exps/cifar100/grad_norm_scores/ckpt_7410.npy,47500,0.95,0.796875,0.6304
cifar100,resnet18_lowres,/scratch/dichalla/data_diet/exps/cifar100/error_l2_norm_scores/ckpt_7410.npy,47500,0.95,0.8203125,0.6112
cifar100,resnet18_lowres,/scratch/dichalla/data_diet/exps/cifar100/forget_scores/ckpt_9360.npy,45000,0.9,0.8359375,0.6062
cifar100,resnet18_lowres,/scratch/dichalla/data_diet/exps/cifar100/grad_norm_scores/ckpt_7410.npy,45000,0.9,0.8125,0.5963
cifar100,resnet18_lowres,/scratch/dichalla/data_diet/exps/cifar100/error_l2_norm_scores/ckpt_7410.npy,45000,0.9,0.8046875,0.6051
cifar100,resnet18_lowres,/scratch/dichalla/data_diet/exps/cifar100/forget_scores/ckpt_9360.npy,37500,0.75,0.8125,0.6045
cifar100,resnet18_lowres,/scratch/dichalla/data_diet/exps/cifar100/grad_norm_scores/ckpt_7410.npy,37500,0.75,0.796875,0.5939
cifar100,resnet18_lowres,/scratch/dichalla/data_diet/exps/cifar100/error_l2_norm_scores/ckpt_7410.npy,37500,0.75,0.7890625,0.5994
cifar100,resnet18_lowres,/scratch/dichalla/data_diet/exps/cifar100/forget_scores/ckpt_9360.npy,27500,0.55,0.8125,0.5899
cifar100,resnet18_lowres,/scratch/dichalla/data_diet/exps/cifar100/grad_norm_scores/ckpt_7410.npy,27500,0.55,0.8203125,0.5397
cifar100,resnet18_lowres,/scratch/dichalla/data_diet/exps/cifar100/error_l2_norm_scores/ckpt_7410.npy,27500,0.55,0.78125,0.5263
